Time,Active power
8/03/2020,801.9067139
8/04/2020,686.1638007
8/05/2020,794.7419667
8/06/2020,927.0800937
8/07/2020,1009.242342
8/08/2020,729.8554736
8/09/2020,1037.990415
8/10/2020,931.5212847
8/11/2020,837.2869271
8/12/2020,725.1766521
8/13/2020,939.986634
8/14/2020,536.1761222
8/15/2020,592.6971479
8/16/2020,689.6458639
8/17/2020,581.1783542
8/18/2020,739.674959
8/19/2020,426.743059
8/20/2020,440.9896778
8/21/2020,573.3550694
8/22/2020,661.510016
8/23/2020,615.9514007
8/24/2020,865.7145722
8/25/2020,587.9911403
8/26/2020,255.3689771
8/27/2020,283.6409396
8/28/2020,461.4167847
8/29/2020,583.6140118
8/30/2020,577.6827882
8/31/2020,756.2401125
9/01/2020,1088.940606
9/02/2020,709.2634118
9/03/2020,1050.664733
9/04/2020,1124.118585
9/05/2020,1302.076657
9/06/2020,1299.328299
9/07/2020,837.367159
9/08/2020,717.6852778
9/09/2020,904.566325
9/10/2020,954.9671618
9/11/2020,1238.163842
9/12/2020,1141.118685
9/13/2020,1289.06233
9/14/2020,1301.66025
9/15/2020,1292.449531
9/16/2020,1288.316621
9/17/2020,1156.721056
9/18/2020,633.2381847
9/19/2020,768.2496938
9/20/2020,856.794575
9/21/2020,609.2391431
9/22/2020,751.271225
9/23/2020,607.8559701
9/24/2020,850.6808458
9/25/2020,810.0566097
9/26/2020,1126.749147
9/27/2020,1053.841341
9/28/2020,832.6412625
9/29/2020,542.589125
9/30/2020,481.5702479
10/01/2020,462.7046861
10/02/2020,488.9292611
10/03/2020,700.6131139
10/04/2020,914.1579514
10/05/2020,808.1977701
10/06/2020,1259.828437
10/07/2020,1256.952438
10/08/2020,1222.093213
10/09/2020,1119.37334
10/10/2020,731.9134368
10/11/2020,275.5576597
10/12/2020,224.8146875
10/13/2020,451.3609646
10/14/2020,942.3247847
10/15/2020,904.846141
10/16/2020,760.0977729
10/17/2020,629.5019174
10/18/2020,294.5496347
10/19/2020,195.4983521
10/20/2020,33.73749722
10/21/2020,74.45984653
10/22/2020,231.8940563
10/23/2020,192.7948542
10/24/2020,63.47751806
10/25/2020,81.44330833
10/26/2020,63.46976806
10/27/2020,73.31896806
10/28/2020,52.23666667
10/29/2020,92.26119028
10/30/2020,263.3092542
10/31/2020,432.9494319
11/01/2020,315.6824049
11/02/2020,887.1325438
11/03/2020,515.4283368
11/04/2020,156.3883514
11/05/2020,228.5309264
11/06/2020,340.3696472
11/07/2020,347.5447896
11/08/2020,204.0813458
11/09/2020,434.4336743
11/10/2020,152.3337715
11/11/2020,162.6836375
11/12/2020,367.8557111
11/13/2020,511.315891
11/14/2020,389.1887965
11/15/2020,421.6861965
11/16/2020,575.7256431
11/17/2020,1118.21408
11/18/2020,734.4177924
11/19/2020,106.3644639
11/20/2020,109.4987278
11/21/2020,373.8553271
11/22/2020,433.6050361
11/23/2020,883.2712924
11/24/2020,767.2106799
11/25/2020,589.5388354
11/26/2020,385.0072438
11/27/2020,86.51060694
11/28/2020,173.286084
11/29/2020,183.5625118
11/30/2020,269.9892618
12/01/2020,336.9415979
12/02/2020,341.5223014
12/03/2020,325.4240813
12/04/2020,216.2591403
12/05/2020,274.7031299
12/06/2020,502.8732924
12/07/2020,404.2226271
12/08/2020,202.6748931
12/09/2020,283.4525431
12/10/2020,120.3156229
12/11/2020,205.7934313
12/12/2020,815.6327208
12/13/2020,984.1020167
12/14/2020,574.7844326
12/15/2020,540.2315292
12/16/2020,365.7259806
12/17/2020,426.7497924
12/18/2020,399.5861014
12/19/2020,611.1734438
12/20/2020,783.6575132
12/21/2020,275.8742658
