Date,Wind speed,Generator speed,Blade angle,Wind direction,Ambient temperature,Active power
3/3/2020,3.613365278,8.056110417,7.451846528,3.778289583,29.41159167,84.74124028
3/4/2020,4.231165972,9.019152083,9.651125694,-317.9934201,29.50193403,167.0499757
3/5/2020,5.30185625,11.86947639,1.321416667,-410.0887451,29.51190694,281.4350319
3/6/2020,5.315715972,11.87401528,0.808427778,-454.2021569,29.71426042,279.8725
3/7/2020,4.909367361,11.04561736,0.876617361,-405.6210549,29.65564375,215.0954625
3/8/2020,6.170113889,13.53843194,-0.408870833,-366.7993674,29.60739306,391.9412639
3/9/2020,5.53458125,12.30558403,-0.747754861,-357.4704021,29.76104861,285.8551451
3/10/2020,5.132951389,11.58703958,-0.747744444,-365.1121958,29.66358472,239.1119917
3/11/2020,4.450265278,10.45967361,0.181584028,-366.5848368,29.66609722,167.0436722
3/12/2020,5.466582639,12.08424236,-0.444373611,-366.4050306,29.75981736,279.0766222
3/13/2020,5.335486111,11.76908681,-0.1396125,-344.1044486,29.86859792,262.5347674
3/14/2020,5.634448611,12.36882014,-0.701579861,-345.8156722,29.74222917,295.4934299
3/15/2020,5.953425,12.97061736,-0.411878472,-348.2452257,30.11226111,334.5124542
3/16/2020,6.364621528,13.78715694,-0.537511806,-341.8167486,30.31696319,410.124684
3/17/2020,4.898591667,10.96852361,0.938476389,-352.9867222,30.84374792,225.8919597
3/18/2020,4.580410417,10.42389375,0.260797222,-380.9698326,30.46248472,168.6545125
3/19/2020,5.272536806,11.66651042,0.102546528,-392.9592993,29.93659097,258.297
3/20/2020,4.460027083,9.926278472,4.779230556,-415.4824625,30.21429653,176.7415688
3/21/2020,5.003922222,11.31167917,-0.755586111,-382.8999556,30.01200208,223.7563201
3/22/2020,5.291361111,11.52724028,0.15830625,-366.4474868,30.32649444,243.8104896
3/23/2020,4.928277778,11.16872431,-0.775569444,-363.0619389,30.3372,215.0628042
3/24/2020,6.114390972,13.27088611,-0.752261111,-359.2745667,30.14063819,370.9264993
3/25/2020,5.130207639,11.38373056,-0.576536806,-356.5117333,30.38181597,224.8887889
3/26/2020,5.223724306,11.60605764,-0.781324306,-349.5946042,30.55015972,244.0813201
3/27/2020,4.209474306,9.184134722,6.387990972,-373.2516486,30.34902569,141.0619403
3/28/2020,4.063602778,9.1988875,6.056510417,-367.3300111,30.44868056,139.4225813
3/29/2020,3.928936111,7.449903472,16.67299653,-363.8201083,30.50435833,128.3981882
3/30/2020,5.90381875,12.88568681,-0.757998611,-351.9385924,30.34041181,327.6785708
3/31/2020,5.135806944,11.50579792,-0.628764583,-372.2949875,30.80089653,238.7579708
4/1/2020,5.4700125,12.221,-0.776479167,-389.3605347,30.53186319,287.3347104
4/2/2020,4.384988889,8.847570139,12.96897917,-422.4970632,30.99085833,181.196984
4/3/2020,4.120059028,9.284934028,3.56849375,-394.818584,31.33942569,125.3989007
4/4/2020,4.109125,8.803207639,7.024552778,-427.6914292,32.20315139,123.9118792
4/5/2020,4.889449306,11.08263472,-0.756163889,-468.1691097,31.48801736,211.3294194
4/6/2020,4.207001389,9.525913889,2.746132639,-492.1303389,32.28190208,131.0512569
4/7/2020,4.350641667,10.02791111,2.11989375,-419.6098458,32.00457014,156.7924472
4/8/2020,5.398888889,11.81255069,0.800273611,-403.3516514,31.22527847,294.1743903
4/9/2020,5.691801389,12.50743681,-0.790697222,-358.6533313,31.51708125,305.4009576
4/10/2020,5.169132639,11.40627431,-0.541457639,-341.1393264,31.59593542,237.8750257
4/11/2020,4.799389583,10.80663056,1.034357639,-359.2366708,31.55796667,218.7180451
4/12/2020,5.227313889,11.79808333,0.109295833,-376.0089618,31.61301319,307.1165486
4/13/2020,4.892611111,11.01646806,3.105330556,-358.3896361,31.81801944,230.9120951
4/14/2020,3.968846528,9.407199306,4.835518056,-398.4337792,31.71138681,119.5355083
4/15/2020,4.12635625,9.424049306,4.251099306,-434.3598757,31.98711042,132.7653479
4/16/2020,4.44659375,10.22310208,-0.047464583,-412.8708715,32.13105625,150.8595285
4/17/2020,4.929763194,10.99570347,0.745691667,-394.8247292,31.39577917,216.0754549
4/18/2020,5.669588889,12.49361111,-0.683145139,-371.8083847,31.99394375,318.8318889
4/19/2020,4.975194444,11.16725069,-0.16855,-367.5804465,32.19274653,211.9340715
4/20/2020,5.288027778,11.92160764,0.0995875,-378.3675715,31.74300208,314.9495313
4/21/2020,3.682672917,7.05840625,17.54629861,-462.5549319,32.40330069,100.0790611
4/22/2020,5.2939625,11.61695556,-0.764695139,-471.6706326,32.13854861,240.7594583
4/23/2020,5.164132639,11.50606667,-0.764683333,-493.8677514,32.69663611,231.4582208
4/24/2020,4.539345139,10.15066458,2.656720139,-343.7029854,32.96015486,171.562834
4/25/2020,4.080174306,9.253236111,4.884260417,-186.8744042,32.94860417,131.0310576
4/26/2020,4.426099306,9.839259028,2.8958125,-415.1211549,32.36432917,151.7006243
4/27/2020,4.27396875,9.514493056,4.087152778,-452.9354417,32.11126597,139.0271951
4/28/2020,3.980333333,9.239661111,3.800811111,-312.7430389,31.58914653,120.163059
4/29/2020,3.729554167,7.916708333,11.43030139,-200.0789993,32.50224722,101.9610646
4/30/2020,4.585161111,9.821857639,5.851091667,-504.231566,32.78013472,180.3194319
5/1/2020,3.989252083,9.175215972,3.660547917,-407.2217444,32.95646597,118.1263076
5/2/2020,3.648538194,8.015442361,8.842226389,-482.9599306,32.97874028,86.38092986
5/3/2020,3.443147096,7.689346528,9.888963194,-422.4821028,33.14263264,72.64674861
5/4/2020,4.535539583,9.408695139,15.73102708,-388.3338014,31.52965486,179.4582042
5/5/2020,5.25730625,10.94632917,6.670089583,-126.5848438,30.60970278,263.8346993
5/6/2020,4.970943056,11.27413819,-0.807250694,-138.1090111,31.36639028,225.9998653
5/7/2020,3.117647222,5.990861111,20.45674583,-231.5142472,32.63743403,60.46517917
5/8/2020,3.352265278,7.507141667,11.31415,-524.7025778,32.54752083,71.05029514
5/9/2020,3.188034028,6.161113889,19.12672778,-288.7374069,30.4266875,61.10644375
5/10/2020,3.29030625,7.385702778,12.10819931,-3.412840278,29.64528681,78.42985486
5/11/2020,1.856771528,1.928311806,42.90072708,-124.9139215,30.38429583,15.23396736
5/12/2020,2.872494444,4.909459028,26.30429514,-238.7656674,32.77237778,45.00976736
5/13/2020,3.137438194,6.357297222,18.48687014,-347.0400563,31.71483333,65.27574861
5/14/2020,4.780247917,10.41468611,3.354111111,-343.8799563,32.23463403,204.7739271
5/15/2020,6.797360417,6.826965278,38.24466458,-160.2874271,32.07659028,181.0207208
